station name,venue id,venue name,venue address,venue latitude,venue longitude,venue categories
Nürnberger Straße,4c694a008e7c0f47862cdf0f,S+U Stuttgart Nürnberger Straße,Nürnberger Str.,48.804362915308346,9.235662341750006,Light Rail Station
Nürnberger Straße,4f3668a1e4b0aa62a107c15d,Agip Service Station,Nürnberger Straße 18,48.80581349,9.23337076,Gas Station
Nürnberger Straße,4c62a9097c9def3b4a81d31c,TOTAL Tankstelle,Nuernberger Str. 9,48.80604600100816,9.232759861461322,Gas Station
Nürnberger Straße,4c403e24e26920a1a48c5ce7,Amadeus Frisör,Nauheimerstrasse,48.805436,9.227753,Unknown
Nürnberger Straße,518920da498e0c6939ea0b60,Neckar Käpt'n,,48.808495947015906,9.234979641884301,Harbor / Marina
Nürnberger Straße,4f37c013e4b08f0099c95682,Krehl's Linde,Obere Waiblinger Straße 113,48.80679445469925,9.231966459234831,Hotel
Nürnberger Straße,4c0df2fe2466a5933d567821,U Augsburger Platz,Augsburger Platz,48.805909541449076,9.23076868057251,Metro Station
Nürnberger Straße,5012d560e4b0e3a6f3eeb32f,Tropischer Regenwald,Obere Waiblinger Straße,48.806657,9.233132,Other Great Outdoors
Nürnberger Straße,4e180fd2ae6092c2764e5397,Polizeibrunnen,Lammgasse,48.80611173034863,9.229792658101989,Well
Nürnberger Straße,4f4f2636e4b02447947cca95,Hotel Spahr,Waiblinger Strasse 63,48.804974334101686,9.22516624282784,Hotel
Leinfelden,4c17bfc96a21c9b68bfdc797,S+U Leinfelden,Bahnhofstr.,48.697052456999494,9.142839222410226,Light Rail Station
Leinfelden,53e1ef08498ea6b722c5fa28,Stuttgart Flughafen Bahnhof,,48.69160356734762,9.182186211705577,Train Station
Leinfelden,4e8c83599a52f194de42f7f8,Gio's Pizza,Neuer Markt,48.69648522618232,9.142689022445037,Pizza Place
Leinfelden,57bbf702498e66e49c3ec391,Exquisit Reinigung / Hermes Paketshop,Echterdinger Str. 15,48.692772,9.144605,Dry Cleaner
Leinfelden,536b30b7498ede143cb03c94,Euchner GmbH & Co KG,Kohlhammerstr.16,48.69539944611034,9.145337773855774,Office
Leinfelden,4de4ff692271bfb844d70955,Opel Staiger,,48.697297,9.143222,Auto Dealership
Leinfelden,5b46e5796e4650002c8aac35,Treiber Spezialitäten Bäckerei Konditorei,,48.697254,9.139513,Bakery
Leinfelden,5b84ff01947c05002bf084f7,P+R Leinfelden Bahnhof,,48.696682,9.142563,Parking
Leinfelden,51f25e5d498e0c15c7127881,Bosch Power Tools Training Center,,48.69755154194883,9.141521990785582,Convention Center
Leinfelden,5d53f25d1e36c8000886502b,Le Petit Café,,48.698096,9.14391,Café
Höfingen,511ac864a629ec8f68cf3961,S Höfingen,Felsgartenstr.,48.81493739592205,9.025336499902643,Light Rail Station
Höfingen,4afb0dfcf964a520b01a22e3,S Leonberg,Bahnhofstr. 78,48.79944902562042,9.003790593336083,Light Rail Station
Höfingen,4c6c4c38a437224b3ef929b1,Lidl,Ditzinger Str. 79,48.817665,9.026800600000001,Supermarket
Höfingen,4b92ad2df964a5205b1034e3,Restaurant Monteleone,Schmalzstraße 4,48.803128,9.018363,Unknown
Höfingen,5c768b3b1543c7002c3b63fb,Volksbank Leonberg-Strohgäu eG -SB-Stelle Marktplatz-,Marktplatz 20,48.8015705,9.0154853,Bank
Höfingen,58ddf2e837318110dcf7b418,Bestattungshaus Haller,Seestr. 3,48.80050240000001,9.017210799999999,Unknown
Höfingen,4bb6191a46d4a5934dadc5c0,Aichele HQ,Hauffstraße,48.817408,9.010313,Unknown
Höfingen,4d2605270167a1cd75d5a2bd,Rita's Garten,Graf-Ulrich-Str. 5,48.802197,9.016337,Unknown
Höfingen,5229f51711d22639b966f2a0,Kleintierarzt Dr. Grassmann,,48.8158662687705,9.025788817477219,Pet Service
Höfingen,51aa28e1498e226497757766,Grillhütte,,48.817062,9.025939,Fried Chicken Joint
Sommerrain,4dea0af11f6e3ddebdc0d268,Gruen-Weiss Sommerrain,Masurenstrasse,48.81438635256784,9.245681731453926,Athletics & Sports
Sommerrain,4c694a8b8e7c0f47c22ddf0f,S Stuttgart-Sommerrain,Sommerrainstr. 80,48.82056547006822,9.242499781088094,Light Rail Station
Sommerrain,508d160be4b0c35053cf8fa9,Gaststätte Sommerrain,Asternweg 1,48.81524042592254,9.247860979009314,German Restaurant
Sommerrain,4b98f195f964a520b45735e3,Dr. Sören Link,,48.815204,9.247639,Doctor's Office
Sommerrain,4e8b31c802d540e452ba1cbf,U Obere Ziegelei,Schmidener Str.,48.81513868124057,9.235249165241315,Metro Station
Sommerrain,4df369c662e1288ed303b9d7,U Hauptfriedhof,Steinhaldenstr.,48.819043772681944,9.237205982208252,Metro Station
Sommerrain,58a5574def469453a3a4fe0d,Bäckerei Grau,,48.809504,9.253559,Bakery
Sommerrain,4fdb9bf9e4b0d1f5f8ce012a,U Beskidenstraße,Nürnberger Str.,48.81014197984179,9.253578186035156,Metro Station
Sommerrain,5181302f498efb1e8004f88f,Shell,Erich-Herion-Straße 33,48.81468839,9.25968536,Gas Station
Sommerrain,4d9b5b43422ea1cd15bdfa4c,Theodor-Heuss Kaserne,,48.808885733865075,9.25262599059284,Unknown
Malmsheim,4b992587f964a520ae6435e3,Flugplatz Malmsheim,,48.7737512986915,8.91450808690563,Unknown
Malmsheim,4de22de418385df2b01d0c2c,S Malmsheim,Calwer Str.,48.771893187955705,8.90541123440797,Light Rail Station
Malmsheim,54a14134498e55060a6e53af,Da Mimmo Ristorante Pizzeria,Schießrainweg 1,48.75425,8.8735,Pizza Place
Malmsheim,523a7b3311d21e706641fec8,Wörwag Pulverlacke,Dornierstraße 1,48.77650766331052,8.929393789910925,Factory
Malmsheim,5472fe9f498ea81a484a1e32,Brunnen,,48.77960444934091,8.915781093239355,Well
Malmsheim,4f625600e4b0c2e65806af7b,Schulturnhalle Malmsheim,Schulstraße,48.77754510985876,8.903560638427734,College Gym
Malmsheim,4ffa5f0ae4b0211bc4091076,Arbeit Malmsheim,,48.77428458256415,8.90765284077542,Doctor's Office
Malmsheim,4faa01c8e4b08f6085e7dc12,Praxis Dr. Kellermann,,48.775706841254284,8.914525508880615,Doctor's Office
Malmsheim,4b47abb4f964a520eb3926e3,Hotel Böhm,Perouser Straße 25,48.77362903027967,8.905511828784324,Unknown
Malmsheim,4f72a829e4b0257534354a5d,Vergölst,Benzstr.35,48.77653,8.921671300000014,Automotive Shop
Rutesheim,4f4a3e37e4b011fb7754946f,S Rutesheim,Bahnhofstr. 1,48.79031974897702,8.959976985963205,Light Rail Station
Rutesheim,4ec2c9c40e01c7563d19a0f3,Nemrut Restaurant,"Römerstraße 66, 71229 Leonberg",48.788682022645816,8.979919549267006,Restaurant
Rutesheim,4c1b91e055e4c9b62d834923,Weidacher Huette,,48.471108482793724,9.899899289326395,Hostel
Rutesheim,52e93fa4498eb0c82f35a1ee,Shell,Dornierstraße 9,48.7808293,8.93034986,Gas Station
Rutesheim,4d0723579d33a1437a43ca78,Projekt Rutesheim,,48.808113,8.94635,Unknown
Rutesheim,4c6c4dc699b9236a9b33e2c9,Hagebaucentrum Bolay,Dieselstr. 11,48.81030790737852,8.954853130005644,Hardware Store
Rutesheim,4cda5f5ed549548148bc35b2,SAF,71229 Leonberg,48.80597335,8.981203,Nightclub
Rutesheim,4e32ef7a1838be8b94d00944,Maasai manyatta,,48.8091207,8.9444744,Unknown
Rutesheim,5384ef98498ec1985aa2ff3e,Haus der Begegnung,,48.78564305259844,8.980175742163246,Cultural Center
Rutesheim,505024fde4b02c1144b01924,Drs Dorn,Am Markt,48.78887187371804,8.98328685714623,Doctor's Office
Weil der Stadt,4c867d0d2f1c236a25ab5d43,S Weil der Stadt,Am Bahnhof 1,48.75540119725737,8.872567339772148,Light Rail Station
Weil der Stadt,54a14134498e55060a6e53af,Da Mimmo Ristorante Pizzeria,Schießrainweg 1,48.75425,8.8735,Pizza Place
Weil der Stadt,508b5d15e4b00ac3c6c1414e,Eckert,"Bahnhofstr. 1, Im Bahnhof",48.75486,8.87241,Miscellaneous Shop
Weil der Stadt,4eaeb8b79911d5c951c81067,Buslinie 666 (Pforzheim - Tiefenbronn),,48.75504865515603,8.872635465786276,Bus Line
Weil der Stadt,58f9c9bb9ec3990cbc1d8fa2,BayWa AG Weil der Stadt (Vertrieb Agrar),Eisenbahnstr. 13,48.75486,8.87069,Unknown
Weil der Stadt,53241d89498e24d13680474e,Nunzia Italian Hairdesign,,48.768023,8.852175,Salon / Barbershop
Weil der Stadt,4d7bd7f273ca5481d37c537c,Vereinsgaststaette TSV Merklingen 1901,Untere Talstraße 66,48.76986303600701,8.857791484445563,Italian Restaurant
Weil der Stadt,4cbde345f50e224ba63607fc,Corado,,48.756493,8.867464,Diner
Weil der Stadt,58b2fc1014f8f47dba62b59b,Narrenbrunnen,,48.750388,8.871486,Historic Site
Weil der Stadt,4d8a0c00b799a35dbda9a263,Diefenbach,,48.75674998190017,8.871015276577822,Café
Bietigheim,4e1fd93fc65b2b5e35364be8,Bahnhof Bietigheim-Bissingen,Bahnhofsplatz 1,48.94812292038605,9.137019924565227,Train Station
Bietigheim,5044db3fe4b00690bbcda286,Gleis 7/8,,48.94773285853686,9.136797387071441,Platform
Bietigheim,57a82aec498e618a8b5b71dc,Valeo Schalter und Detektionssysteme,Laiernstr. 12,48.945899951377385,9.136612288449921,Office
Bietigheim,5008d8ebe4b0ffb332d23407,"Bietigheim-Bissingen, Gleis 5",,48.94826026039456,9.137153438548955,Platform
Bietigheim,504588eae4b0118370b69093,Gleis 10,,48.94767701359212,9.13676314923283,Platform
Bietigheim,52bc1ce6498e0438d88b4f3b,Adam's,Bahnhofsplatz 1,48.94887891764382,9.136800007055555,Bakery
Bietigheim,4ba3de61f964a5206c6838e3,Maxx Music Club,,48.94837903853866,9.142341613769531,Unknown
Bietigheim,4f4cf30ae4b0b2a2fd399d70,Schlemmer Deener Bietigheim,,48.94912550016144,9.136445425210699,Turkish Restaurant
Bietigheim,4d1b3c32c5f5b1f7cd27da36,Post Hauptstelle,Bahnhofstraße 169,48.94852246759678,9.135076238897597,Post Office
Bietigheim,4b9b71bcf964a520bb0736e3,Valeo Bietigheim-Bissingen,Heutingsheimerstr.,48.95043301342819,9.137159287202032,Office
Kornwestheim,4b767d47f964a520b04e2ee3,Bahnhof Kornwestheim Pbf,Bahnhofstr. 85,48.86215975527713,9.180171489715574,Train Station
Kornwestheim,59e858b31cf2e17b2b7ab45f,Gleis 3,Pbf,48.862164,9.179775,Platform
Kornwestheim,521c847611d26a3b3189e606,Akademie Deutsche POP,Stammheimer Str. 10,48.861863309611046,9.17931318283081,General College & University
